10,2147,893,88
7,1573,99,181
7,2011,584,92
7,7841,907,113
10,389,802,96
18,5946,92,102
15,21084,957,99
105,6133,446,61
9,1297,622,105
10,2776,684,95
11,0,859,108
7,1615,675,99
10,19420,38,164
19,1054,476,21
8,3611,779,91
15,21985,759,77
10,7326,1054,98
10,7165,113,167
9,0,30,169
12,69,677,131
16,5340,671,86
18,4814,796,91
20,12488,1341,159
7,5826,663,96
17,2141,594,93
9,15111,364,21
22,235,701,22
59,206,438,98
108,2900,876,113
11,130,691,90
9,0,772,176
9,15873,422,104
16,14205,618,32
7,4107,280,94
19,692,416,87
8,1956,885,94
9,1420,1159,113
7,5890,684,31
21,10262,93,108
22,6526,403,78
22,34,599,134
null,null,530,162
14,5170,945,106
86,2200,286,86
9,8136,207,93
108,2723,831,73
6,12645,691,98
27,18694,411,105
11,4664,865,98
8,null,null,null
12,19,57,32
7,6331,619,88
7,6310,341,92
8,3738,391,86
7,6304,507,72
9,6256,323,78
86,3865,490,115
10,1434,670,181
105,5022,31,155
null,null,1048,95
21,8716,868,106
10,145,974,102
7,2519,200,226
17,1625,286,99
14,0,867,97
7,5826,1053,101
17,944,731,91
9,0,568,88
6,14380,116,101
null,null,764,77
800,18000,339,113
10,3541,86,181
7,7886,776,36
23,10841,720,92
9,99,607,181
10,1026,86,211
null,null,569,98
8,16900,970,126
7,5760,494,90
11,4373,321,97
100,6153,286,73
null,null,538,21
13,3037,463,102
9,4220,87,112
111,15237,1098,161
8,2485,574,109
184,4091,85,103
12,9629,718,116
9,17195,388,120
9,922,312,107
10,5982,593,122
18,6115,1012,35
82,3582,960,105
10,0,598,90
7,4429,798,92
13,83,794,100
45,3615,882,134
14,0,497,99
8,null,null,null
27,16393,671,129
19,14345,692,85
8,4760,541,54
24,6092,797,109
11,3102,999,96
10,463,676,87
10,2601,702,89
7,6509,79,177
200,11348,353,18
9,1779,77,198
8,1044,670,112
16,15005,96,85
17,2369,394,91
14,5805,1264,97
96,6520,501,89
7,4946,571,99
10,1797,1068,111
9,5468,319,88
8,106,304,20
7,5895,87,20
null,null,1078,135
117,23158,335,67
14,1031,785,93
104,18699,1122,116
9,6548,1045,97
8,65,515,86
9,5490,876,122
9,0,452,110
86,3745,395,88
13,3969,498,105
12,37,36,46
32,5947,726,98
8,1969,427,72
10,4549,554,102
10,6312,92,202
7,5605,793,101
null,null,400,100
17,1090,94,121
8,1234,888,89
9,13097,659,17
82,3606,636,180
16,1140,873,91
63,12404,982,94
8,16299,515,92
9,6772,390,94
98,4838,864,29
168,6570,268,97
16,14958,785,92
100,5975,432,85
8,8291,116,97
9,4999,517,152
11,0,143,183
10,6232,743,89
9,3815,531,115
8,4101,697,92
7,15730,323,78
7,5563,110,196
12,9101,608,64
9,0,999,89
10,3959,927,121
null,null,115,220
10,4005,48,251
88,10540,88,273
7,1080,262,112
10,1042,690,111
96,5987,909,88
12,968,496,85
100,3954,390,96
10,12031,46,59
96,6166,715,106
7,5767,601,95
10,1791,507,101
11,4710,386,92
17,1429,293,115
13,4371,106,183
8,209,697,92
9,13,545,157
17,69,478,93
11,1693,1068,85
7,7389,607,90
13,5255,118,89
9,4109,463,99
104,19704,564,80
12,4194,496,90
23,9663,912,75
10,1383,180,120
9,6951,165,291
16,5133,321,109
7,2332,54,323
7,3560,296,102
10,463,997,106
10,2024,915,105
17,2773,996,72
10,1434,369,189
13,2291,413,50
101,15196,284,107
null,null,570,98
9,5688,914,83
111,14848,464,112
9,1142,375,78
8,9189,961,114
9,8192,1185,100
9,5926,47,265
9,3861,107,202
68,17156,543,53
null,null,89,103
9,251,519,160
8,16128,452,20
16,8737,542,120
11,1327,554,49
111,16846,86,259
68,15840,486,86
9,13089,462,17
8,1069,574,88
9,14373,38,269
20,3195,1191,99
