11,null,null,null
15,null,null,null
13,14189,711,289
null,null,1385,195
6,null,null,null
24,35846,208,200
20,24897,201,214
12,23537,266,298
2120,9089,193,388
8,43791,580,204
7,21419,1294,288
7,6585,524,203
88,null,null,null
7,42412,1076,111
7,43979,1090,281
10,22212,889,199
12,24307,482,204
11,38696,497,110
8,42296,1011,301
6,22600,1282,204
6,3209,784,195
6,1693,287,204
2483,7685,1195,206
10,18789,207,207
7,null,null,null
16,48205,1096,204
11,27314,602,204
7,5088,101,297
98,49804,1194,288
6,null,null,null
31,null,null,null
12,31860,608,196
14,24683,873,203
2215,15103,699,203
13,36282,779,202
180,28388,1072,200
7,39228,206,293
8,26892,1212,198
55,null,null,null
20,1610,1372,237
2391,25306,1091,114
6,40046,708,291
11,9495,1405,198
24,7809,289,206
14,9589,496,195
91,31405,935,204
9,44995,1299,205
7,42412,598,192
10,36212,292,205
21,null,null,null
6,13214,1192,185
6,23599,497,204
7,2749,814,198
6,null,null,null
7,null,null,null
13,6496,792,204
7,39100,196,392
8,42903,1289,203
9,40798,210,201
11,null,null,null
14,22981,596,201
11,26401,792,212
8,40296,795,196
null,null,704,206
15,null,null,null
8,33694,596,202
9,39495,788,200
11,3324,390,206
88,null,null,null
12,19174,610,287
null,null,681,200
9,3924,1205,198
10,4791,203,308
19,31902,901,210
98,51383,1375,201
2392,23720,1001,288
20,26407,1285,291
2392,24508,995,204
7,42589,695,201
10,37109,782,202
7,33847,1341,199
7,40085,512,190
13,4699,204,298
24,37380,291,293
8,41879,1007,202
7,18109,898,197
16,15206,1093,244
178,null,null,null
19,39312,190,300
55,null,null,null
null,null,1185,295
9,33285,109,298
null,null,800,287
7,37173,589,214
null,null,1091,208
11,1585,581,210
2210,5186,885,192
6,11800,990,203
2279,4480,782,206
14,9900,1087,195
7,19324,1281,125
12,31860,297,303
8,42702,505,198
7,17508,808,200
10,6519,672,211
13,4281,705,199
19,39492,1008,193
178,null,null,null
6,45202,224,200
9,45304,197,306
2392,24508,303,282
24,36975,193,297
8,44095,999,201
10,42005,1101,290
14,8384,915,199
7,19203,798,192
null,null,1190,199
6,35998,573,206
103,28134,176,402
7,15805,1482,204
10,4791,1106,289
7,13688,801,200
6,33722,1289,202
2279,6104,189,305
9,1759,504,197
8,37585,1409,202
6,46791,802,205
9,40788,1377,192
9,40708,1006,113
9,16492,1291,209
13,6295,991,204
10,33414,444,202
7,43980,580,200
null,null,289,301
14,25998,1090,203
26,null,null,null
10,38391,205,316
20,3000,583,291
7,37686,186,399
7,29107,601,300
14,40696,508,285
null,null,110,481
7,35852,396,304
7,34804,1199,285
7,32325,98,485
9,57,1044,206
180,25901,502,206
10,36212,503,208
6,32222,776,202
8,27298,1387,113
7,7692,806,289
6,19899,705,201
21,null,null,null
12,22916,795,202
17,43387,329,199
21,null,null,null
null,null,1373,206
6,2077,297,304
11,7886,889,197
9,40793,794,204
9,14787,296,308
7,43125,578,203
7,44125,577,207
2300,30809,500,201
7,27016,509,256
6,13418,775,199
7,19906,694,209
11,26401,1401,206
6,16179,579,203
38,36508,1303,192
null,null,199,288
9,42221,1290,203
8,null,null,null
2210,2700,510,198
6,41492,1203,197
8,41390,390,109
12,9,44,275
10,5692,1369,199
6,null,null,null
11,27318,183,402
10,20506,298,301
null,null,789,200
7,41585,1302,202
98,50893,1092,205
14,38904,600,206
10,34595,528,182
12,24664,1283,202
6,37019,793,191
6,18415,1192,200
98,48222,181,296
13,4699,716,195
7,15104,897,200
9,7398,375,210
7,19597,1302,218
8,5715,905,182
6,24372,1304,290
null,null,1289,209
10,34915,183,309
88,null,null,null
13,6818,803,206
14,40599,1246,202
6,null,null,null
6,45207,1205,114
88,null,null,null
6,144,531,204
6,15288,296,274
2210,4266,1102,199
7,35359,1290,200
8,6399,1216,282
11,34471,576,197
8,38427,594,287
13,null,null,null
7,13018,288,213
7,null,null,null
9,40788,874,202
12,31259,1075,205
11,10297,1291,206
12,29992,1488,111
9,22,1289,205
10,45015,191,211
11,25780,798,205
13,7005,580,201
8,8001,301,206
11,34389,1089,210
8,40296,194,298
6,30600,209,300
7,null,null,null
7,15205,1289,191
20,1407,1281,201
15,null,null,null
2403,16616,192,398
6,2512,778,114
9,39193,295,203
6,20929,185,306
13,6296,1202,289
6,41610,991,294
7,20014,411,290
6,22685,285,294
10,37111,185,296
14,40699,1295,204
10,35309,901,193
8,5202,1306,290
6,14693,206,284
26,null,null,null
2215,13318,1087,197
7,16492,94,309
7,42704,699,187
21,null,null,null
20,26402,102,315
24,7598,1205,194
6,13809,589,189
10,41999,908,197
7,40595,1010,200
6,null,null,null
21,null,null,null
10,20507,1303,293
16,49012,1100,197
7,2629,542,201
2215,13506,499,195
103,35988,643,195
180,26608,284,213
null,null,604,204
12,396,1290,200
9,298,603,197
8,31692,879,201
8,31691,1086,196
7,4194,1403,197
180,28326,1280,214
12,24899,1103,223
19,31905,604,204
11,34471,180,391
6,43551,1297,206
7,38506,496,308
15,26402,198,223
6,12383,806,295
12,23375,1197,294
7,37092,508,196
17,42093,285,324
6,null,null,null
9,16708,799,295
7,35583,583,293
6,36234,267,281
96,48067,1200,106
7,40189,1284,202
10,22281,1093,203
15,null,null,null
6,16503,284,198
8,null,null,null
7,20805,1101,293
7,30614,1376,207
7,36488,701,285
7,22798,929,280
9,1617,999,204
2391,28717,491,203
9,1912,597,210
11,1877,793,192
7,null,null,null
2483,7479,212,388
13,5029,1466,206
10,36389,405,115
9,33508,1393,111
7,10315,809,204
7,14715,1200,207
7,21102,598,201
7,18501,1115,195
10,39212,1202,201
13,4995,503,110
9,1915,882,199
7,19,886,200
7,22798,498,200
10,38612,577,199
6,35405,1374,200
7,3899,790,200
7,18501,910,199
10,4027,992,200
2279,5799,1281,205
7,40912,1289,199
7,23,456,209
6,12047,1398,191
21,null,null,null
14,26307,1179,114
6,11800,1282,200
7,null,null,null
11,34171,1395,289
6,null,null,null
12,34364,809,199
6,33001,1076,194
6,13378,600,288
