20,106,1850,108
12,5261,1580,198
6,26,1957,206
11,7770,1284,198
10,5334,1496,195
9,864,1677,107
17,1837,1874,198
13,6036,1701,195
154,15,66,200
7,101,574,111
9,90,71,283
99,12878,2299,202
37,6419,1683,199
12,38,946,197
6,9345,1103,195
99,14729,1692,192
null,null,1507,193
9,58,477,207
84,52,540,214
9,128,649,109
7,3086,1295,111
10,1948,1342,156
11,2189,500,182
7,2471,192,404
13,143,1518,195
12,1931,700,107
7,4387,1496,205
10,1928,596,207
14,4885,299,400
9,7881,1389,191
9,281,1593,208
7,108,317,111
71,3767,903,200
9,561,146,197
99,16052,502,199
71,3769,213,198
9,0,54,167
8,954,488,109
15,122,1303,192
10,5200,989,110
8,102,754,199
10,7547,1074,197
15,7876,595,182
6,3993,1988,221
null,null,1203,206
9,6657,694,193
13,6240,697,195
14,3040,1706,110
9,1749,153,198
73,4199,1798,202
10,11639,705,199
7,102,1284,200
8,2973,1190,205
9,864,1791,195
99,12878,2003,206
11,2148,118,353
11,2168,408,292
7,30,1169,198
154,712,706,207
9,32,323,290
7,15,39,210
198,3606,811,289
10,235,1877,109
13,3680,124,377
7,678,1570,196
15,3863,1206,192
9,1354,1596,192
7,31,1989,199
7,113,807,203
9,1266,604,108
8,3502,1101,194
7,6273,969,205
8,89,1219,110
13,13,332,199
6,731,1803,197
12,1268,1382,114
7,21,584,207
7,7,1464,197
7,85,650,218
9,10656,1557,201
12,2495,595,198
7,2523,780,201
11,2862,398,196
7,147,896,201
15,3810,196,304
7,974,1572,114
13,24,2182,200
7,1635,1777,198
14,9,733,194
102,11523,113,388
9,5679,1690,194
13,4683,1498,195
7,5045,599,194
7,2830,1400,104
6,10257,1097,111
7,7054,1494,201
11,1299,1873,111
13,147,548,194
7,5785,2206,198
15,2082,807,220
6,739,835,108
6,127,529,194
7,9345,886,194
6,97,99,307
7,8119,179,302
9,5731,795,199
7,173,1412,193
13,4675,910,189
6,7260,1268,108
13,3579,687,110
9,287,599,199
10,711,289,397
6,8054,1512,284
13,6036,710,188
7,745,802,193
15,1601,198,407
7,611,200,492
9,652,381,196
10,1752,2092,200
7,570,515,113
9,159,1400,192
15,5278,183,328
7,2143,1177,193
71,3462,1307,192
6,3355,610,200
13,106,1748,195
12,301,911,109
7,4272,582,195
18,15,1819,118
7,3266,496,112
13,186,1079,196
21,10685,1588,200
12,1893,365,188
12,8596,1306,193
7,2651,599,194
7,133,1137,198
7,2286,2212,275
11,7770,486,194
9,5854,1508,197
7,750,108,182
15,1605,1495,106
164,2394,1776,208
9,31,1310,110
7,6428,1072,107
9,11664,1504,195
11,2267,1710,110
7,796,2092,290
99,13737,291,207
null,null,1709,200
10,483,197,502
6,10,1479,200
7,357,1391,113
7,0,553,111
71,3767,503,196
15,5937,1608,190
6,3991,275,399
12,9269,1511,187
10,1752,897,197
10,2104,789,290
7,1048,104,206
7,25,1647,201
13,148,1441,194
11,7706,1599,201
13,104,995,207
6,2650,1593,116
8,2448,404,110
10,1934,396,205
13,7756,1204,196
13,148,1796,197
154,360,1638,199
15,3843,606,199
8,5043,1603,195
52,80,1404,292
7,671,1503,199
9,1793,821,195
7,110,1630,195
7,133,931,196
8,99,1300,193
21,3278,900,198
13,4039,610,188
9,5736,1299,203
7,5464,292,203
7,6578,991,115
10,483,2106,194
10,6244,1395,193
10,11744,1605,199
8,1892,2100,204
7,7835,290,293
11,4579,2004,194
9,9676,703,198
6,4850,892,107
11,6208,1195,200
7,6279,769,196
10,73,887,263
13,10,373,200
12,199,685,112
7,512,1127,108
17,3878,1174,198
8,94,1800,195
11,296,1154,198
12,1298,501,112
8,113,748,201
10,128,837,195
10,4588,200,397
6,546,864,200
7,926,499,209
7,88,98,397
15,5137,134,196
10,7852,98,401
15,2181,873,191
9,87,1494,113
6,7785,284,399
9,166,600,193
7,5988,2296,201
7,4398,299,304
13,7778,1804,199
13,592,1096,112
7,3389,996,205
7,26,953,107
9,7678,193,208
7,130,1830,194
7,170,1610,108
7,8678,1599,107
14,3138,1593,108
13,7955,499,192
12,339,1302,198
6,5067,887,194
15,7094,806,201
11,1916,1696,110
10,1043,790,289
10,6269,1589,192
21,7761,498,192
15,5938,1798,107
12,104,1794,200
7,156,618,112
9,646,186,132
94,7664,1512,184
7,552,84,193
19,1392,705,194
94,7898,1496,296
154,359,1252,180
10,4041,1075,111
11,296,555,197
94,9633,418,172
8,1373,979,107
7,4037,217,192
6,6107,581,204
9,1354,102,522
9,7765,1138,162
7,1977,1200,117
11,3857,1107,193
15,5278,1084,110
12,105,2283,199
12,38,396,301
8,5043,602,206
7,257,1506,193
7,2964,1306,119
9,166,1398,195
13,4601,2208,193
94,7898,1201,205
14,21,57,168
9,1237,1196,204
7,30,569,306
6,348,1487,195
7,5537,587,107
7,211,1561,194
10,7938,188,371
95,3441,902,111
8,2077,202,290
10,2859,1100,195
10,1189,692,403
7,5941,797,199
7,11147,683,190
17,3796,1905,287
7,170,1806,197
10,2859,702,194
15,3807,879,305
13,4691,914,206
8,3750,239,308
13,480,602,194
37,6487,1388,288
21,9808,1348,108
8,1858,967,200
7,142,1111,199
7,8974,1203,110
8,5937,395,121
12,4212,1195,107
7,968,596,195
11,1783,1402,194
7,744,109,199
14,5957,308,191
7,112,557,193
7,660,594,191
13,159,1313,201
7,3565,1277,195
8,128,1125,192
6,5245,130,249
7,3570,873,198
9,11504,1988,110
12,301,1898,200
7,10343,800,197
6,6193,1485,114
12,8593,907,200
7,504,189,309
13,100,1157,194
10,4041,1277,109
7,100,998,198
52,83,2206,291
7,5925,693,202
7,6959,604,289
6,348,686,200
12,5261,1081,204
12,663,411,201
8,4258,308,219
21,2463,1675,197
7,2352,681,200
9,881,1678,193
9,1351,894,194
9,667,197,290
6,4971,1495,197
15,557,552,111
8,1362,783,111
7,2549,809,188
9,1237,1897,199
7,65,594,200
198,4226,208,205
19,1392,1109,284
11,5660,1300,197
7,48,782,113
6,130,942,198
7,2398,131,449
12,2164,787,113
8,28,119,197
6,244,444,107
12,1588,2011,109
7,69,129,343
7,33,882,113
7,384,1463,197
10,134,1423,217
10,1120,503,212
8,5941,1299,195
9,1285,1608,291
9,244,839,109
7,2350,190,291
12,183,299,199
13,5536,1102,194
7,8002,917,196
10,6152,600,204
9,11513,1495,197
7,142,162,379
7,170,1210,196
11,6146,579,197
102,13881,392,116
13,133,140,487
7,35,442,194
10,8285,709,196
7,107,457,194
7,834,695,290
7,3467,897,196
9,93,944,113
7,7248,1392,111
7,4456,1899,197
6,9099,397,195
9,10056,198,397
null,null,1787,290
12,38,248,196
9,3460,791,186
9,1140,394,193
9,50,710,189
12,606,94,506
10,5262,1693,112
6,4246,134,281
17,3878,1378,197
7,2035,497,193
7,2830,1593,197
11,2189,1086,195
14,3040,1392,109
14,4730,988,196
11,3441,1612,295
6,7254,1666,203
9,10056,614,187
90,22,678,109
9,159,1597,206
12,8724,207,196
8,2201,1378,195
null,null,2082,196
8,4443,1101,117
7,59,1792,191
11,826,1911,195
8,2973,1978,203
13,4048,833,173
13,118,543,114
9,5675,1490,193
10,2318,386,320
12,1068,704,289
13,2065,700,198
24,746,1713,186
9,2702,497,299
10,11744,311,300
6,14,271,411
8,41,1231,194
13,4048,399,204
8,634,1527,199
12,890,378,194
11,1759,603,194
8,1986,754,197
13,5537,908,189
7,834,399,206
15,122,1501,197
6,1595,706,197
10,5658,1003,198
8,2522,605,195
11,7952,1605,103
7,594,580,203
11,6201,997,109
9,5805,2278,199
10,6356,592,305
6,2145,1682,108
7,2651,1393,111
13,2740,1753,194
37,7386,255,344
13,604,1609,116
9,6643,908,201
7,7835,1798,199
15,8288,2095,203
84,28,183,505
15,2181,1069,194
