8,0,194,97
19,49,484,28
14,271,341,103
7,99,312,88
7,369,99,78
7,104,829,95
7,20,432,51
8,153,1081,110
8,0,446,114
14,751,473,20
15,0,682,105
22,28,732,101
8,34,675,175
80,0,555,77
10,17,133,86
8,45,521,96
11,1286,150,211
10,23,799,103
19,0,616,95
12,743,186,128
9,26,592,110
20,954,783,96
12,254,226,101
8,120,530,92
8,27,817,95
11,348,89,101
13,28,896,36
23,0,82,60
7,480,505,94
8,42,568,103
12,34,909,185
8,46,1367,96
7,42,1036,88
9,141,638,77
9,38,159,77
7,24,498,33
9,642,312,82
8,111,655,95
93,419,686,99
10,35,609,102
8,35,796,105
9,25,816,95
8,57,1263,100
9,145,267,172
75,31,677,100
8,39,496,120
104,839,924,87
7,50,130,149
14,32,567,39
7,934,126,122
8,114,350,160
8,131,170,17
8,5,466,91
80,694,290,105
8,48,231,84
8,46,293,111
8,0,169,88
7,500,260,51
22,25,993,112
22,134,317,76
8,27,550,97
10,35,794,16
7,136,724,93
8,7,50,110
8,28,115,209
7,654,790,99
21,985,990,93
13,119,472,91
9,1103,1280,102
93,928,883,98
7,0,143,89
13,23,983,97
7,348,392,100
15,0,932,146
9,26,515,88
8,0,998,101
8,0,606,92
10,29,526,92
8,124,504,85
13,0,76,27
22,21,868,178
8,37,599,104
7,12,115,109
8,10,211,213
11,267,970,105
8,117,762,98
9,1418,322,87
9,1796,576,26
15,0,1012,180
13,31,515,92
9,7,323,108
8,41,1104,95
8,0,738,113
12,46,422,92
8,0,609,95
80,0,256,89
9,60,796,91
63,1,719,33
13,83,233,24
9,133,730,102
75,30,276,187
8,41,709,92
9,29,1015,96
14,15,423,42
8,62,738,96
8,162,272,114
11,348,271,99
7,624,89,280
8,0,778,84
9,37,287,111
10,35,485,26
7,41,139,248
10,137,742,72
20,150,1246,87
7,480,803,80
8,274,102,85
8,10,1072,81
179,28,151,125
9,22,962,99
8,30,717,93
22,23,399,189
8,250,254,105
8,0,137,164
8,19,621,79
9,1258,565,29
7,20,951,98
10,135,714,119
12,127,316,87
11,134,522,89
8,0,897,54
20,0,298,124
8,121,934,86
7,0,425,82
10,23,299,189
9,31,147,55
10,41,772,97
8,262,105,112
8,124,325,26
7,857,141,181
12,11,42,106
9,146,1099,112
9,0,443,91
9,165,37,150
80,723,833,95
8,26,807,87
23,0,422,115
7,0,902,19
8,120,225,111
20,953,583,99
10,43,209,160
11,21,354,175
13,6,1080,103
12,354,480,114
11,0,697,100
8,18,67,8
8,0,293,207
20,180,502,78
8,128,961,27
8,40,581,114
6,42,380,42
22,141,103,91
9,146,807,116
8,29,409,72
8,0,998,76
17,844,209,181
14,342,568,33
11,28,424,90
104,1536,82,120
7,0,903,106
6,42,608,95
35,51,897,92
9,148,923,79
19,373,846,27
7,25,624,70
10,0,630,78
12,30,601,101
8,67,694,88
13,20,508,77
13,27,903,78
8,40,530,90
11,1033,189,87
10,149,557,99
7,629,882,182
13,30,100,97
8,44,479,74
93,776,786,93
